Parameter:,Time,UAV.LATLON#0,UAV.LATLON#1,GPS.ALTITUDE,UAV.HEADING,GPS.SATS_IN_USE
Mnemonic:,,,,,,
Units:,sec,deg,deg,m,deg,
Desc'n:,,,,,,
Index #:,--------------------,--------------------,--------------------,--------------------,--------------------,--------------------
4248,30983.2,54.8361952,-4.9129047,95.9,47.9406,10
4249,30983.2,54.8362087,-4.9128841,95.9,47.17471,10
4250,30983.4,54.8362229,-4.9128671,97.4,46.21092,10
4251,30983.4,54.8362366,-4.9128471,97.4,44.91288,10
4252,30983.6,54.8362514,-4.9128305,98.8,43.65611,10
4253,30983.6,54.8362655,-4.9128117,98.8,42.50804,10
4254,30983.8,54.8362806,-4.9127954,100.2,41.46636,10
4255,30983.8,54.8362951,-4.9127778,100.2,40.8488,10
4256,34584,54.8363101,-4.9127634,101.6,40.19046,10
4257,34584,54.8363249,-4.9127468,101.6,39.31995,10
4258,30984.2,54.8363402,-4.9127334,103,38.37015,10
4259,30984.2,54.8363554,-4.9127178,103,37.20668,10
4260,30984.4,54.836371,-4.9127052,104.4,35.85867,10
4261,30984.4,54.8363864,-4.9126907,104.4,34.77206,10
4262,30984.6,54.8364021,-4.9126788,105.7,34.0803,10
4263,30984.6,54.8364178,-4.9126653,105.7,33.42015,10
4264,30984.8,54.8364339,-4.9126547,107,32.75238,10
4265,30984.8,54.8364499,-4.9126422,107,32.01021,10
4266,34585,54.836466,-4.912632,108.2,31.18508,10
4267,34585,54.8364823,-4.9126207,108.2,30.25867,10
4268,30985.2,54.8364986,-4.9126117,109.5,29.32808,10
4269,30985.2,54.8365152,-4.9126017,109.5,28.32583,10
4270,30985.4,54.8365318,-4.9125941,110.7,27.25253,10
4271,30985.4,54.8365485,-4.9125853,110.7,26.18203,10
4272,30985.6,54.8365653,-4.912579,111.9,25.13547,10
4273,30985.6,54.8365822,-4.9125713,111.9,24.03189,10
4274,30985.8,54.8365989,-4.9125658,113.1,22.95646,10
4275,30985.8,54.8366161,-4.9125594,113.1,21.92109,10
4276,34586,54.8366328,-4.9125552,114.3,20.78542,10
4277,34586,54.8366502,-4.9125499,114.3,19.62553,10
4278,30986.2,54.836667,-4.9125467,115.5,18.47398,10
4279,30986.2,54.8366845,-4.9125427,115.5,17.30141,10
4280,30986.4,54.8367016,-4.9125409,116.6,16.05943,10
4281,30986.4,54.8367192,-4.9125383,116.6,14.87305,10
4282,30986.6,54.8367364,-4.9125379,117.8,13.67799,10
4283,30986.6,54.8367541,-4.9125365,117.8,12.45542,10
4284,30986.8,54.8367713,-4.9125347,118.9,11.15067,10
4285,30986.8,54.8367891,-4.9125345,118.9,9.860586,10
4286,34587,54.8368063,-4.9125317,120.1,8.626977,10
4287,34587,54.8368241,-4.9125325,120.1,7.384023,10
4288,30987.2,54.8368415,-4.9125289,121.2,6.146304,10
4289,30987.2,54.8368592,-4.9125305,121.2,4.989381,10
4290,30987.4,54.8368768,-4.9125266,122.4,4.144222,10
4291,30987.4,54.8368948,-4.9125285,122.4,3.542328,10
4292,30987.6,54.836912,-4.9125363,123.5,3.146679,10
4293,30987.6,54.8369301,-4.9125391,123.5,2.814904,10
4294,30987.8,54.8369482,-4.9125477,124.4,2.481532,10
4295,30987.8,54.8369665,-4.9125512,124.4,1.927444,10
4296,34588,54.8369845,-4.9125569,125.3,1.250089,10
4297,34588,54.8370032,-4.9125607,125.3,0.5239301,10
4298,30988.2,54.8370244,-4.91257,126.3,359.8,10
4299,30988.2,54.8370436,-4.9125745,126.3,359.1392,10
